tag,name,rank,thLevel,warID,order_,attackerTag,defenderTag,stars,new_stars,destructionPercentage,war_player.defenderTag,defenderName,defenderRank,defenderTH,attacker_is_home_clan,home_clan_tag,home_clan_name,home_clan_level,enemy_clan_tag,enemy_clan_name,enemy_clan_level,war_start_time,war_size,type
#UYVQ2800,ANM ×͜× Koyoote,13,18,15968218,107,#UYVQ2800,#Y209U8J2P,3,0,100,#Y209U8J2P,Mena 2,7,18,0,#90YVJJC8,BRAZILIAN HOUSE,29,#2GPV299QG,ANONYMOUS×͜× 2,16,2026-05-29 01:13:26,35,normal
#9Y9UY0VYC,Aragorn,10,18,15968218,108,#9Y9UY0VYC,#Y09LJR8G8,3,0,100,#Y09LJR8G8,João Anaya,26,18,0,#90YVJJC8,BRAZILIAN HOUSE,29,#2GPV299QG,ANONYMOUS×͜× 2,16,2026-05-29 01:13:26,35,normal
#UYVQ2800,ANM ×͜× Koyoote,13,18,15968218,109,#UYVQ2800,#2JJQ28UC,3,0,100,#2JJQ28UC,Emerson,9,18,0,#90YVJJC8,BRAZILIAN HOUSE,29,#2GPV299QG,ANONYMOUS×͜× 2,16,2026-05-29 01:13:26,35,normal
#8GRGU08JU,Monspiet,6,18,15968218,110,#8GRGU08JU,#LYC289RC,1,0,54,#LYC289RC,ANM×͜×Charles86,1,18,1,#90YVJJC8,BRAZILIAN HOUSE,29,#2GPV299QG,ANONYMOUS×͜× 2,16,2026-05-29 01:13:26,35,normal
#8GRGU08JU,Monspiet,6,18,15968218,111,#8GRGU08JU,#LPGYG29R,1,0,55,#LPGYG29R,C O I O T E,2,18,1,#90YVJJC8,BRAZILIAN HOUSE,29,#2GPV299QG,ANONYMOUS×͜× 2,16,2026-05-29 01:13:26,35,normal
#G90YPR80Y,Night_King,24,18,15968218,112,#G90YPR80Y,#LYC289RC,2,0,76,#LYC289RC,ANM×͜×Charles86,1,18,1,#90YVJJC8,BRAZILIAN HOUSE,29,#2GPV299QG,ANONYMOUS×͜× 2,16,2026-05-29 01:13:26,35,normal
#9PY9YJ82C,ANM ×͜× BRUNOx7,23,18,15968218,113,#9PY9YJ82C,#9YQGQGRVR,1,0,58,#9YQGQGRVR,Thuthu,1,18,0,#90YVJJC8,BRAZILIAN HOUSE,29,#2GPV299QG,ANONYMOUS×͜× 2,16,2026-05-29 01:13:26,35,normal
#9PY9YJ82C,ANM ×͜× BRUNOx7,23,18,15968218,114,#9PY9YJ82C,#8VJU02QGJ,2,0,66,#8VJU02QGJ,Thuria,2,18,0,#90YVJJC8,BRAZILIAN HOUSE,29,#2GPV299QG,ANONYMOUS×͜× 2,16,2026-05-29 01:13:26,35,normal
#2P0P9VLQ,♥TUSTINHA♥,19,18,15968218,115,#2P0P9VLQ,#LYC289RC,2,0,79,#LYC289RC,ANM×͜×Charles86,1,18,1,#90YVJJC8,BRAZILIAN HOUSE,29,#2GPV299QG,ANONYMOUS×͜× 2,16,2026-05-29 01:13:26,35,normal
#2P0P9VLQ,♥TUSTINHA♥,19,18,15968218,116,#2P0P9VLQ,#LPGYG29R,2,0,74,#LPGYG29R,C O I O T E,2,18,1,#90YVJJC8,BRAZILIAN HOUSE,29,#2GPV299QG,ANONYMOUS×͜× 2,16,2026-05-29 01:13:26,35,normal
#LPLQC28RC,Rogério ™,12,18,15965486,1,#LPLQC28RC,#889R8CPJV,2,2,96,#889R8CPJV,Queen ®iya,5,18,1,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#CQVGL9YC,Yokai,32,18,15965486,2,#CQVGL9YC,#PLYPLP2PP,3,3,100,#PLYPLP2PP,Anju,6,18,1,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#LPLQC28RC,Rogério ™,12,18,15965486,3,#LPLQC28RC,#8JYPPQYLJ,2,2,70,#8JYPPQYLJ,Rani,7,18,1,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
#QCQLUQYU,Sammy Martins,30,18,15965486,4,#QCQLUQYU,#PGPJ2YJ2C,3,3,100,#PGPJ2YJ2C,Komal,18,18,1,#90YVJJC8,BRAZILIAN HOUSE,29,#JVP8UGCY,MAHI'S FORCE,38,2026-05-27 01:54:17,35,normal
